best m,c is 1.680000,12.830000 with error 16.078310 in direction 0
best m,c is 1.680000,12.840000 with error 16.074553 in direction 0
best m,c is 1.680000,12.850000 with error 16.070802 in direction 0
best m,c is 1.680000,12.860000 with error 16.067056 in direction 0
best m,c is 1.680000,12.870000 with error 16.063315 in direction 0
best m,c is 1.680000,12.880000 with error 16.059580 in direction 0
best m,c is 1.680000,12.890000 with error 16.055850 in direction 0
best m,c is 1.680000,12.900000 with error 16.052125 in direction 0
best m,c is 1.680000,12.910000 with error 16.048406 in direction 0
best m,c is 1.670000,12.920000 with error 16.044656 in direction 7
best m,c is 1.670000,12.930000 with error 16.040637 in direction 0
best m,c is 1.670000,12.940000 with error 16.036623 in direction 0
best m,c is 1.670000,12.950000 with error 16.032614 in direction 0
best m,c is 1.670000,12.960000 with error 16.028611 in direction 0
best m,c is 1.670000,12.970000 with error 16.024613 in direction 0
best m,c is 1.670000,12.980000 with error 16.020620 in direction 0
best m,c is 1.670000,12.990000 with error 16.016633 in direction 0
best m,c is 1.670000,13.000000 with error 16.012650 in direction 0
best m,c is 1.670000,13.010000 with error 16.008673 in direction 0
best m,c is 1.670000,13.020000 with error 16.004701 in direction 0
best m,c is 1.670000,13.030000 with error 16.000735 in direction 0
best m,c is 1.670000,13.040000 with error 15.996774 in direction 0
best m,c is 1.670000,13.050000 with error 15.992818 in direction 0
best m,c is 1.670000,13.060000 with error 15.988867 in direction 0
best m,c is 1.670000,13.070000 with error 15.984922 in direction 0
best m,c is 1.670000,13.080000 with error 15.980981 in direction 0
best m,c is 1.670000,13.090000 with error 15.977047 in direction 0
best m,c is 1.670000,13.100000 with error 15.973117 in direction 0
best m,c is 1.670000,13.110000 with error 15.969193 in direction 0
best m,c is 1.670000,13.120000 with error 15.965274 in direction 0
best m,c is 1.670000,13.130000 with error 15.961360 in direction 0
best m,c is 1.670000,13.140000 with error 15.957452 in direction 0
best m,c is 1.670000,13.150000 with error 15.953549 in direction 0
best m,c is 1.670000,13.160000 with error 15.949651 in direction 0
best m,c is 1.670000,13.170000 with error 15.945758 in direction 0
best m,c is 1.670000,13.180000 with error 15.941871 in direction 0
best m,c is 1.670000,13.190000 with error 15.937990 in direction 0
best m,c is 1.670000,13.200000 with error 15.934113 in direction 0
best m,c is 1.670000,13.210000 with error 15.930242 in direction 0
best m,c is 1.670000,13.220000 with error 15.926376 in direction 0
best m,c is 1.670000,13.230000 with error 15.922516 in direction 0
best m,c is 1.670000,13.240000 with error 15.918661 in direction 0
best m,c is 1.670000,13.250000 with error 15.914811 in direction 0
best m,c is 1.670000,13.260000 with error 15.910967 in direction 0
best m,c is 1.670000,13.270000 with error 15.907128 in direction 0
best m,c is 1.670000,13.280000 with error 15.903294 in direction 0
best m,c is 1.670000,13.290000 with error 15.899466 in direction 0
best m,c is 1.670000,13.300000 with error 15.895643 in direction 0
best m,c is 1.670000,13.310000 with error 15.891825 in direction 0
best m,c is 1.670000,13.320000 with error 15.888013 in direction 0
best m,c is 1.670000,13.330000 with error 15.884206 in direction 0
best m,c is 1.670000,13.340000 with error 15.880405 in direction 0
best m,c is 1.670000,13.350000 with error 15.876609 in direction 0
best m,c is 1.670000,13.360000 with error 15.872818 in direction 0
best m,c is 1.670000,13.370000 with error 15.869033 in direction 0
best m,c is 1.670000,13.380000 with error 15.865253 in direction 0
best m,c is 1.670000,13.390000 with error 15.861479 in direction 0
best m,c is 1.670000,13.400000 with error 15.857710 in direction 0
best m,c is 1.670000,13.410000 with error 15.853946 in direction 0
best m,c is 1.670000,13.420000 with error 15.850188 in direction 0
best m,c is 1.670000,13.430000 with error 15.846435 in direction 0
best m,c is 1.670000,13.440000 with error 15.842688 in direction 0
